code,R_rheostat_ohm,R_parallel_ohm
0,120.0,95.59322033898304
1,159.0625,118.84252359662196
2,198.125,139.3732460243218
3,237.1875,157.63588157313302
4,276.25,173.98659966499162
5,315.3125,188.7107043374453
6,354.375,202.03942380591357
7,393.4375,214.16214259862468
8,432.5,225.23545706371192
9,471.5625,235.38997676734152
10,510.625,244.73550031867433
11,549.6875,253.3650015323322
12,588.75,261.357733175915
13,627.8125,268.7816680899516
14,666.875,275.69543705332603
15,705.9375,282.14988041456286
16,745.0,288.18930041152265
17,784.0625,293.8524794418141
18,823.125,299.1735137747704
19,862.1875,304.18250058644145
20,901.25,308.90610756608936
21,940.3125,313.36804786173275
22,979.375,317.58947822337217
23,1018.4375,321.58933445307576
24,1057.5,325.38461538461536
25,1096.5625,328.99062437662076
26,1135.625,332.42117555469054
27,1174.6875,335.6887706631199
28,1213.75,338.80475129918335
29,1252.8125,341.77943043714856
30,1291.875,344.62220645619016
31,1330.9375,347.3416623286483
32,1370.0,349.94565217391306
33,1409.0625,352.44137701646434
34,1448.125,354.8354512870642
35,1487.1875,357.13396136037045
36,1526.25,359.3425172197871
37,1565.3125,361.466298172885
38,1604.375,363.510093401627
39,1643.4375,365.4783380156735
40,1682.5,367.37514518002325
41,1721.5625,369.2043348067874
42,1760.625,370.9694592322779
43,1799.6875,372.6738262425995
44,1838.75,374.32051976177587
45,1877.8125,375.91241847464397
46,1916.875,377.452212621105
47,1955.9375,378.9424191678475
48,1995.0,380.38539553752537
49,2034.0625,381.78335205291404
50,2073.125,383.13836323420986
51,2112.1875,384.45237807091854
52,2151.25,385.72722937529807
53,2190.3125,386.9646423117585
54,2229.375,388.16624218569115
55,2268.4375,389.33356156567385
56,2307.5,390.46804680468045
57,2346.5625,391.57106401863973
58,2385.625,392.6439045743051
59,2424.6875,393.68779013278635
60,2463.75,394.70387729015766
61,2502.8125,395.6932618522022
62,2541.875,396.65698277650966
63,2580.9375,397.5960258117382
64,2620.0,398.51132686084145
65,2659.0625,399.40377509237993
66,2698.125,400.2742158216611
67,2737.1875,401.123453181331
68,2776.25,401.95225259915287
69,2815.3125,402.7613430990203
70,2854.375,403.55141943974434
71,2893.4375,404.3231441048035
72,2932.5,405.07714915503306
73,2971.5625,405.81403795514393
74,3010.625,406.53438678398277
75,3049.6875,407.2387463375655
76,3088.75,407.92764313312256
77,3127.8125,408.6015808216798
78,3166.875,409.2610414160509
79,3205.9375,409.90648644053385
80,3245.0,410.53835800807536
81,3284.0625,411.157079830184
82,3323.125,411.76305816444227
83,3362.1875,412.35668270406916
84,3401.25,412.9383274136261
85,3440.3125,413.50835131463276
86,3479.375,414.0670992245608
87,3518.4375,414.61490245240145
88,3557.5,415.15207945375545
89,3596.5625,415.67893644816724
90,3635.625,416.19576800121786
91,3674.6875,416.7028575737013
92,3713.75,417.2004780400359
93,3752.8125,417.68889217790274
94,3791.875,418.1683531309576
95,3830.9375,418.6391048463271
96,3870.0,419.10138248847926
97,3909.0625,419.5554128309427
98,3948.125,420.0014146272457
99,3987.1875,420.43959896235015
100,4026.25,420.8701695857659
101,4065.3125,421.29332322745125
102,4104.375,421.709249897527
103,4143.4375,422.11813317076474
104,4182.5,422.5201504567437
105,4221.5625,422.915473256511
106,4260.625,423.3042674065266
107,4299.6875,423.68669331062046
108,4338.75,424.0629061606447
109,4377.8125,424.43305614645783
110,4416.875,424.7972886558383
111,4455.9375,425.15574446488614
112,4495.0,425.50855991943604
113,4534.0625,425.85586710797475
114,4573.125,426.19779402652125
115,4612.1875,426.5344647359036
116,4651.25,426.8659995118379
117,4690.3125,427.19251498819114
118,4729.375,427.5141242937853
119,4768.4375,427.8309371830818
120,4807.5,428.1430601610611
121,4846.5625,428.450596602598
122,4885.625,428.7536468666122
123,4924.6875,429.0523084052598
124,4963.75,429.346675868415
125,5002.8125,429.63684120367725
126,5041.875,429.9228937521261
127,5080.9375,430.20492034003263
128,5120.0,430.4830053667263
129,5159.0625,430.75723088880255
130,5198.125,431.02767670084904
131,5237.1875,431.2944204128566
132,5276.25,431.5575375244725
133,5315.3125,431.81710149624587
134,5354.375,432.0731838180062
135,5393.4375,432.32585407450836
136,5432.5,432.57518000847097
137,5471.5625,432.8212275811287
138,5510.625,433.0640610304107
139,5549.6875,433.30374292685457
140,5588.75,433.5403342273571
141,5627.8125,433.773894326859
142,5666.875,434.0044811080558
143,5705.9375,434.2321509892223
144,5745.0,434.4569589702333
145,5784.0625,434.67895867686
146,5823.125,434.8982024034164
147,5862.1875,435.1147411538272
148,5901.25,435.32862468118503
149,5940.3125,435.53990152586164
150,5979.375,435.7486190522337
151,6018.4375,435.9548234840823
152,6057.5,436.15855993872077
153,6096.5625,436.3598724599058
154,6135.625,436.55880404957895
155,6174.6875,436.75539669849036
156,6213.75,436.94969141574717
157,6252.8125,437.1417282573328
158,6291.875,437.3315463536371
159,6330.9375,437.51918393603825
160,6370.0,437.7046783625731
161,6409.0625,437.88806614273386
162,6448.125,438.0693829614238
163,6487.1875,438.2486637021066
164,6526.25,438.4259424691799
165,6565.3125,438.60125260960336
166,6604.375,438.7746267338104
167,6643.4375,438.9460967359311
168,6682.5,439.115693813352
169,6721.5625,439.28344848563853
170,6760.625,439.4493906128447
171,6799.6875,439.61354941323134
172,6838.75,439.7759534804173
173,6877.8125,439.936630799983
174,6916.875,440.095608765547
175,6955.9375,440.25291419433574
176,6995.0,440.4085733422639
177,7034.0625,440.5626119185441
178,7073.125,440.7150550998426
179,7112.1875,440.86592754399703
180,7151.25,441.0152534033131
181,7190.3125,441.1630563374536
182,7229.375,441.3093595259355
183,7268.4375,441.45418568024877
184,7307.5,441.5975570556091
185,7346.5625,441.73949546235957
186,7385.625,441.8800222770308
187,7424.6875,442.01915845307366
188,7463.75,442.1569245312746
189,7502.8125,442.2933406498648
190,7541.875,442.4284265543334
191,7580.9375,442.56220160695574
192,7620.0,442.6946847960445
193,7659.0625,442.8258947449352
194,7698.125,442.95584972071316
195,7737.1875,443.08456764269124
196,7776.25,443.2120660906473
197,7815.3125,443.33836231282766
198,7854.375,443.46347323372623
199,7893.4375,443.5874154616448
200,7932.5,443.71020529604283
201,7971.5625,443.8318587346833
202,8010.625,443.95239148058073
203,8049.6875,444.0718189487584
204,8088.75,444.1901562728202
205,8127.8125,444.3074183113437
206,8166.875,444.4236196540994
207,8205.9375,444.53877462810215
208,8245.0,444.6528973034997
209,8284.0625,444.7660014993039
210,8323.125,444.87810078896865
211,8362.1875,444.98920850582033
212,8401.25,445.0993377483444
213,8440.3125,445.208501385333
214,8479.375,445.3167120608981
215,8518.4375,445.42398219935336
216,8557.5,445.53032400996955
217,8596.5625,445.6357494916072
218,8635.625,445.74027043722975
219,8674.6875,445.8438984383009
220,8713.75,445.94664488907034
221,8752.8125,446.04852099074986
222,8791.875,446.14953775558405
223,8830.9375,446.2497060108188
224,8870.0,446.3490364025696
225,8909.0625,446.4475393995935
226,8948.125,446.54522529696726
227,8987.1875,446.6421042196742
228,9026.25,446.7381861261024
229,9065.3125,446.83348081145743
230,9104.375,446.9279979110908
231,9143.4375,447.021746903748
232,9182.5,447.1147371147371
233,9221.5625,447.20697771902104
234,9260.625,447.29847774423536
235,9299.6875,447.3892460736334
236,9338.75,447.47929144896136
237,9377.8125,447.568622473265
238,9416.875,447.6572476136292
239,9455.9375,447.74517520385353
240,9495.0,447.8324134470647
241,9534.0625,447.9189704182676
242,9573.125,448.00485406683674
243,9612.1875,448.0900722189505
244,9651.25,448.17463257996786
245,9690.3125,448.25854273675145
246,9729.375,448.34181015993624
247,9768.4375,448.4244422061472
248,9807.5,448.50644612016544
249,9846.5625,448.587829037046
250,9885.625,448.66859798418733
251,9924.6875,448.7487598833539
252,9963.75,448.8283215526536
253,10002.8125,448.90728970847135
254,10041.875,448.9856709673583
255,10080.9375,449.0634718478808
